搾,730,13,7,サク,しぼ:る
錯,731,16,7,サク,
咲,732,9,7,,さ:く
冊,733,5,6,サツ・サク,
札,734,5,4,サツ,ふだ
刷,735,8,4,サツ,す:る
刹,736,8,7,サツ・セツ,
拶,737,9,7,サツ,
殺,738,10,5,サツ・サイ・セツ,ころ:す
察,739,14,4,サツ,
撮,740,15,7,サツ,と:る
擦,741,17,7,サツ,す:る・す:れる
雑,742,14,5,ザツ・ゾウ,
皿,743,5,3,,さら
三,744,3,1,サン,み・み:つ・みっ:つ
山,745,3,1,サン,やま
参,746,8,4,サン,まい:る
桟,747,10,7,サン,
蚕,748,10,6,サン,かいこ
惨,749,11,7,サン・ザン,みじ:め
産,750,11,4,サン,う:む・う:まれる・うぶ
傘,751,12,7,サン,かさ
散,752,12,4,サン,ち:る・ち:らす・ち:らかす・ち:らかる
算,753,14,2,サン,
酸,754,14,5,サン,す:い
賛,755,15,5,サン,
残,756,10,4,ザン,のこ:る・のこ:す
斬,757,11,7,ザン,き:る
暫,758,15,7,ザン,
士,759,3,5,シ,
子,760,3,1,シ・ス,こ
支,761,4,5,シ,ささ:える
止,762,4,2,シ,と:まる・と:める
氏,763,4,4,シ,うじ
仕,764,5,3,シ・ジ,つか:える
史,765,5,5,シ,
司,766,5,4,シ,
四,767,5,1,シ,よ・よ:つ・よっ:つ・よん
市,768,5,2,シ,いち
矢,769,5,2,シ,や
旨,770,6,7,シ,むね
死,771,6,3,シ,し:ぬ
糸,772,6,1,シ,いと
